cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_TG_edge_label,future_example_title,future_window,tuned_ml_score,tuned_hybrid_score
2022,cellulose nanofiber scaffold,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,14,9,4,6,12,7,4,1.505952483392551,126,2,0.0093240883094636,1,1,1,1,1,0,,2023-2026,0.6550050728693669,0.8428070175438596
2022,moisture-gradient ion transport,chaotropic polymer-water disruption,transport_mechanism,gel_microstructure,11,10,3,9,11,7,4,1.3264892249556168,110,2,0.0073903165222409,1,4,1,1,1,1,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,2023-2026,0.6916599366881582,0.8417543859649123
2022,moisture-gradient ion transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,11,9,3,6,11,7,3,0.9681836391485727,99,2,0.0716978938853405,1,4,1,1,1,1,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel,2023-2026,0.7004441931762825,0.8385964912280701
2022,anti-freezing organohydrogel design,organic redox molecular design,gel_microstructure,redox_chemistry,17,7,7,2,13,7,3,1.0128330108856984,119,2,0.3174699167093939,1,9,1,1,1,1,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,2023-2026,0.6327019774089824,0.8312280701754386
2022,phase-transition entropy amplification,carbon-electrode redox interface,phase_or_species_transition,electrode_interface,21,8,12,7,12,3,5,1.814506819395988,168,2,0.0038681717834262,1,13,1,1,1,1,High-Performance Cu-Based Liquid Thermocells Enabled by Thermosensitive Crystallization and Etched Carbon Cloth Electrode,2023-2026,0.5551950405931582,0.8305263157894736
2022,moisture-gradient ion transport,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,11,18,3,14,11,6,5,1.6872680058999432,198,2,0.0124679037478452,1,4,1,1,1,0,,2023-2026,0.52341809335382,0.8224561403508771
2022,cellulose nanofiber scaffold,hierarchical porous electrode interface,gel_microstructure,electrode_interface,14,7,4,4,12,7,3,1.035949130012887,98,2,0.0,1,1,1,1,1,0,,2023-2026,0.649929581892454,0.8129824561403509
2022,thermoresponsive micellization p/n conversion,ferri/ferrocyanide redox chemistry,phase_or_species_transition,redox_chemistry,4,23,2,23,2,9,4,1.352727901245041,92,2,0.0,1,2,1,1,1,0,,2023-2026,0.5694552005444782,0.8049122807017544
2022,cation/anion thermodiffusion asymmetry,chaotropic polymer-water disruption,transport_mechanism,gel_microstructure,6,10,5,9,4,7,4,1.319509357352049,60,2,0.0203086073342486,1,5,1,1,1,0,,2023-2026,0.6760559133132205,0.8045614035087719
2022,cation/anion thermodiffusion asymmetry,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,6,18,5,14,4,6,3,0.9798860854569408,108,2,0.0428770295581587,1,5,1,1,1,0,,2023-2026,0.5633187732240913,0.8035087719298246
