model,params,roc_auc,average_precision,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,precision_at_100,hits_at_100
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.5,0.843973649967469,0.6249538681532031,0.9,9,0.76,19,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.3,0.8457628497072218,0.6242168182677428,0.9,9,0.76,19,0.6,30,0.41,41
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.5,0.8428757319453482,0.6225340311867895,0.9,9,0.76,19,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.6,0.8334417696811972,0.6184180618126888,0.8,8,0.76,19,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.6,0.8298227065712426,0.6154481203991238,0.8,8,0.76,19,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.1; lr_weight=0.6,0.8253903708523097,0.6104013515318394,0.8,8,0.76,19,0.58,29,0.38,38
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.7,0.8261629798308393,0.6098067709178611,0.8,8,0.76,19,0.6,30,0.38,38
random_forest,n=300; min_leaf=4; max_features=sqrt,0.8382400780741706,0.6063861926262647,0.8,8,0.76,19,0.6,30,0.41,41
random_forest,n=600; min_leaf=4; max_features=0.6,0.8297820429407938,0.6039918772550572,0.8,8,0.76,19,0.62,31,0.37,37
random_forest,n=600; min_leaf=8; max_features=0.6,0.8269355888093689,0.5976413259324435,0.8,8,0.76,19,0.62,31,0.38,38
random_forest,n=600; min_leaf=2; max_features=0.6,0.8186402081977879,0.5816387879538326,0.8,8,0.76,19,0.6,30,0.38,38
ml_blend,lr_weight=0.9; lr_C1; rf_n600_leaf8_mf1.0,0.8039199739752765,0.5532305424625816,0.8,8,0.76,19,0.58,29,0.37,37
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.9,0.8039199739752765,0.5532305424625816,0.8,8,0.76,19,0.58,29,0.37,37
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.0,0.8452342225113858,0.6275251886194042,1.0,10,0.72,18,0.58,29,0.42,42
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.2,0.845681522446324,0.6269264746281367,1.0,10,0.72,18,0.58,29,0.43,43
hybrid_rank_blend,graph_weight=0.8; lr_weight=0.1,0.8453968770331814,0.625063192871021,1.0,10,0.72,18,0.58,29,0.42,42
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.4,0.8441363044892648,0.622064071333828,1.0,10,0.72,18,0.6,30,0.41,41
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.5,0.843445022771633,0.6209003255360546,1.0,10,0.72,18,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.6,0.8414118412491867,0.6196765608289572,0.9,9,0.72,18,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.6,0.8371421600520494,0.6192907246202667,0.9,9,0.72,18,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.7,0.8388906961613534,0.6163855554120778,0.9,9,0.72,18,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.7,0.8304326610279765,0.615024689312535,0.8,8,0.72,18,0.58,29,0.38,38
