pair_id,iTE_relation,TG_relation,iTE_paper,TG_paper,exact,semantic,relation_constrained,neighborhood,neighborhood_component,role_component,predicate_component,tie
PAIR-a8cb3c95d355,MP1-iTE-P0334-02,MP1-TG-P0145-01,P0334,P0145,0,0.8516493439674377,0.6535720735788345,0.5295243255297344,0.03333333333333333,0.5,0.0,a8cb3c95d35502a71e3cef8c9832620545d275d2c680ad6a93f2c66f4f39368c
PAIR-b3d23c7dce7e,MP1-iTE-P0334-02,MP1-TG-P0145-02,P0334,P0145,0,0.746288925409317,0.48508780151605607,0.3880702412128449,0.0,0.0,0.0,b3d23c7dce7e1eeb0c68d914106855b3519ce7c630833e671f412125b143b6f6
PAIR-fc2b48ea69a0,MP1-iTE-P0334-02,MP1-TG-P0145-03,P0334,P0145,0,0.7346585690975189,0.4775280699133873,0.3820224559307099,0.0,0.0,0.0,fc2b48ea69a0de17bc9ca51f82fb698923d5cf0b73f6d41cd28a773ea922747e
PAIR-06bd17556fa4,MP1-iTE-P0334-02,MP1-TG-P0146-01,P0334,P0146,0,0.738808661699295,0.5802256301045418,0.4641805040836334,0.0,0.5,0.0,06bd17556fa4ecc1b49a38ff099a4f8cc2a254a108d7c3119ebdd450da9a82ca
PAIR-4ede9f7738d5,MP1-iTE-P0334-02,MP1-TG-P0146-03,P0334,P0146,0,0.7897067666053772,0.6133093982934952,0.49064751863479616,0.0,0.5,0.0,4ede9f7738d595b998549c86a65dd6676b79b865a1dcab61402fcea25d73b552
PAIR-6f045449d6db,MP1-iTE-P0334-02,MP1-TG-P0146-05,P0334,P0146,0,0.8516493439674377,0.6535720735788345,0.5295243255297344,0.03333333333333333,0.5,0.0,6f045449d6dbfa32c52bbdbee3c47e9af732804985ac50df778ed8b1c1f6adf4
PAIR-0ed026835311,MP1-iTE-P0334-02,MP1-TG-P0159-01,P0334,P0159,0,0.8582797348499298,0.6578818276524544,0.5263054621219635,0.0,0.5,0.0,0ed0268353112cf5f38a7a15dd14de5608cdc59c584a1d0cbf11eecd98e19c1e
PAIR-272eb152ed83,MP1-iTE-P0334-02,MP1-TG-P0159-02,P0334,P0159,0,0.7344912737607956,0.5774193279445171,0.4619354623556137,0.0,0.5,0.0,272eb152ed831395122fa34d5512125b9a2372affbe1105d443c4b14a00e5208
PAIR-65c8fc24f657,MP1-iTE-P0334-02,MP1-TG-P0159-03,P0334,P0159,0,0.708195224404335,0.5603268958628178,0.44826151669025427,0.0,0.5,0.0,65c8fc24f6579d3679a42e263219fec9b288d974977c19b8ae5950f01f10dd92
PAIR-e2f1a69eb5bf,MP1-iTE-P0334-02,MP1-TG-P0174-01,P0334,P0174,0,0.8132311999797821,0.6286002799868584,0.5100230811323438,0.03571428571428571,0.5,0.0,e2f1a69eb5bfb93287d1bad364291692cf4eaae9a91e4e7147e3b547f6e765c3
