cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,ml_score,graph_score,hybrid_score,material_prediction_score
2026,silica/inorganic nanoparticle filler,Na-salt electrolyte,13,19,6,9,7,15,8,2.8860154202085937,247,1,27,16,5,10,0.5034884579080801,1.9708430913348949,0.922248243559719,0.5034884579080801
2026,PEDOT:PSS conductor,glycerol organohydrogel,13,13,1,8,13,11,7,2.554657130515236,169,2,11,86,3,8,0.4995913913317017,1.6723653395784541,0.8087822014051522,0.4995913913317017
2026,silica/inorganic nanoparticle filler,K-salt electrolyte,13,14,6,8,7,11,8,2.8477221965340496,182,2,27,16,5,12,0.4972526793565226,1.7699063231850116,0.8368852459016394,0.4972526793565226
2026,cellulose nanofiber matrix,ionic-liquid electrolyte,18,20,6,5,17,19,10,4.055533835578046,360,1,1,47,8,12,0.4922883335280725,2.0203161592505854,0.9258782201405151,0.4922883335280725
2026,PEDOT:PSS conductor,zwitterionic polymer,13,2,1,2,13,1,1,0.318928988903801,26,2,11,86,3,2,0.49195925100056415,0.4866510538641686,0.3953161592505855,0.49195925100056415
2026,cellulose nanofiber matrix,Li-salt electrolyte,18,17,6,6,17,14,12,4.673576179185104,306,1,1,47,8,9,0.4847186422771115,2.024824355971897,0.9257611241217798,0.4847186422771115
2026,Prussian-blue/hexacyanoferrate electrode,iodide/triiodide electrolyte,4,13,4,11,1,8,2,0.6573236538440066,52,2,0,2,4,14,0.4815398746266619,0.6850117096018735,0.4690281030444965,0.4815398746266619
2026,PEDOT:PSS conductor,quinone redox electrolyte,13,1,1,1,13,0,1,0.48089834696298783,13,2,11,86,3,3,0.48102747160974046,0.4537470725995316,0.37991803278688524,0.48102747160974046
2026,Cu-based redox electrolyte,iodide/triiodide electrolyte,8,13,4,11,6,8,1,0.318928988903801,104,2,0,10,8,14,0.4802380276784046,0.7751756440281029,0.5092505854800937,0.4802380276784046
2026,ethylene-glycol organohydrogel,K-salt electrolyte,8,14,4,8,5,11,5,1.7435931206760409,112,2,16,13,6,12,0.47986284497362064,1.3632903981264635,0.7017564402810303,0.47986284497362064
2026,silica/inorganic nanoparticle filler,Li-salt electrolyte,13,17,6,6,7,14,8,2.8232090877218576,221,2,27,16,5,9,0.46322981642993977,1.8414519906323186,0.8653395784543325,0.46322981642993977
2026,ethylene-glycol organohydrogel,Li-salt electrolyte,8,17,4,6,5,14,5,1.7353932610679426,136,1,16,13,6,9,0.4613419502154551,1.5484192037470725,0.7670960187353629,0.4613419502154551
2026,metal-oxide electrode,quinone redox electrolyte,8,1,5,1,4,0,0,0.0,8,3,9,36,6,3,0.459985322374527,0.1939695550351288,0.30807962529274,0.459985322374527
2026,ethylene-glycol organohydrogel,carbon nanotube scaffold,8,19,4,10,5,15,7,2.467272566622655,152,2,16,13,6,13,0.4497755036364377,1.6018735362997658,0.7761124121779859,0.4497755036364377
2026,cellulose nanofiber matrix,gelatin matrix,18,15,6,7,17,14,12,4.4456853648341745,270,2,1,47,8,13,0.4453341305014698,1.9117096018735364,0.8864168618266979,0.4453341305014698
2026,acetonitrile/nitrile solvent,cyclodextrin host,5,3,4,2,2,2,1,0.3898712452512801,15,2,0,2,6,3,0.44354025710847395,0.35146370023419204,0.33606557377049173,0.44354025710847395
2026,acetonitrile/nitrile solvent,zwitterionic polymer,5,2,4,2,2,1,1,0.3898712452512801,10,2,0,2,6,2,0.443416961581291,0.3221896955503513,0.3322014051522248,0.443416961581291
