cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window,ml_score,graph_score,hybrid_score,material_prediction_score
2022,TEMPO/viologen organic redox,Na-salt electrolyte,2,12,0,8,2,5,2,0.7777061516464872,24,2,2,2,0,5,0,,2023-2026,0.06258600658149086,1.1213991769547325,0.39084362139917705,0.06258600658149086
2022,PVA polymer matrix,cellulose nanofiber matrix,12,11,3,3,9,8,6,2.4975083183854547,132,1,8,10,2,2,1,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,2023-2026,0.06218735592059714,1.9473251028806586,0.6609053497942387,0.06218735592059714
2022,chitosan matrix,graphene/graphene-oxide scaffold,3,10,0,5,3,6,2,0.7949682421254927,30,2,9,3,0,5,0,,2023-2026,0.06116983701146174,1.2549382716049382,0.43209876543209874,0.06116983701146174
2022,TEMPO/viologen organic redox,gelatin matrix,2,8,0,5,2,5,1,0.36067376022224085,16,2,2,2,0,4,0,,2023-2026,0.059331916198783335,0.7746913580246914,0.25277777777777777,0.059331916198783335
2022,deep-eutectic electrolyte,graphene/graphene-oxide scaffold,2,10,0,5,2,6,1,0.43429448190325176,20,2,8,2,0,5,0,,2023-2026,0.05880411726660113,0.9452674897119342,0.3141975308641975,0.05880411726660113
2022,chitosan matrix,Prussian-blue/hexacyanoferrate electrode,3,3,0,3,3,1,0,0.0,9,3,9,3,0,3,0,,2023-2026,0.05840685917331231,0.39814814814814814,0.12150205761316873,0.05840685917331231
2022,gelatin matrix,metal-oxide electrode,8,1,5,0,5,1,0,0.0,8,3,0,5,4,2,1,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,2023-2026,0.057020875453804395,0.2854938271604939,0.0786008230452675,0.057020875453804395
2022,gelatin matrix,cyclodextrin host,8,1,5,1,5,0,0,0.0,8,3,0,5,4,2,0,,2023-2026,0.056718027319449034,0.2854938271604939,0.0771604938271605,0.056718027319449034
2022,deep-eutectic electrolyte,Na-salt electrolyte,2,12,0,8,2,5,1,0.40242960438184466,24,2,8,2,0,5,0,,2023-2026,0.05528273109487415,0.9764403292181071,0.32181069958847736,0.05528273109487415
2022,deep-eutectic electrolyte,gelatin matrix,2,8,0,5,2,5,1,0.40242960438184466,16,2,8,2,0,4,0,,2023-2026,0.05504520329640466,0.8324074074074075,0.27222222222222225,0.05504520329640466
