edge_id,source_node,edge_type,target_node,evidence_ref,verified
E_c2c9be42c5fb,insight:INSIGHT_39CF2C90B3,expresses_lever,lever:counterion_condensation,INSIGHT_39CF2C90B3,False
E_3a0914d08e37,paper:P0345,reports,insight:INSIGHT_ADEE540078,P0345,True
E_5c48ecd63aad,insight:INSIGHT_ADEE540078,expresses_lever,lever:oriented_or_confined_channels,INSIGHT_ADEE540078,False
E_b20dd09c10d6,paper:P0345,reports,insight:INSIGHT_8999AEDED8,P0345,True
E_a89f6a80a25e,insight:INSIGHT_8999AEDED8,expresses_lever,lever:oriented_or_confined_channels,INSIGHT_8999AEDED8,False
E_42d1174efbdd,paper:P0346,reports,insight:INSIGHT_EF88284D73,P0346,True
E_68f2b67582c2,insight:INSIGHT_EF88284D73,expresses_lever,lever:antifreeze_or_low_volatility_gel,INSIGHT_EF88284D73,False
E_e84267fc5895,insight:INSIGHT_EF88284D73,expresses_lever,lever:self_healing_or_tough_gel,INSIGHT_EF88284D73,False
E_84a8eb61daf6,paper:P0346,reports,insight:INSIGHT_F7A2D87EB1,P0346,True
E_da2c25726582,insight:INSIGHT_F7A2D87EB1,expresses_lever,lever:hydration_and_solvation,INSIGHT_F7A2D87EB1,False
E_0c3520af6941,insight:INSIGHT_F7A2D87EB1,expresses_lever,lever:antifreeze_or_low_volatility_gel,INSIGHT_F7A2D87EB1,False
E_6cdbee4c8803,paper:P0347,reports,insight:INSIGHT_2E04AF0B9E,P0347,True
E_ab24132948ab,insight:INSIGHT_2E04AF0B9E,expresses_lever,lever:fixed_charge_selectivity,INSIGHT_2E04AF0B9E,False
E_83eeb5749a15,insight:INSIGHT_2E04AF0B9E,expresses_lever,lever:oriented_or_confined_channels,INSIGHT_2E04AF0B9E,False
E_6d57564f5893,insight:INSIGHT_2E04AF0B9E,expresses_lever,lever:moisture_or_evaporation_gradient,INSIGHT_2E04AF0B9E,False
E_a5faace83eb8,paper:P0348,reports,insight:INSIGHT_26D6C5F1F3,P0348,True
E_78751f4b2711,insight:INSIGHT_26D6C5F1F3,expresses_lever,lever:polarity_switching,INSIGHT_26D6C5F1F3,False
E_51bc5a43b6bd,paper:P0349,reports,insight:INSIGHT_8045AED31C,P0349,True
E_4d4aeb4dc3cd,insight:INSIGHT_8045AED31C,expresses_lever,lever:hydration_and_solvation,INSIGHT_8045AED31C,False
E_5bf387b5a5fa,insight:INSIGHT_8045AED31C,expresses_lever,lever:antifreeze_or_low_volatility_gel,INSIGHT_8045AED31C,False
E_614d045b4c17,insight:INSIGHT_8045AED31C,expresses_lever,lever:electrode_interface,INSIGHT_8045AED31C,False
E_2f740a1cd469,paper:P0349,reports,insight:INSIGHT_32250B000A,P0349,True
