unordered_group_id,endpoint_a_global_concept_id,endpoint_a_label,endpoint_b_global_concept_id,endpoint_b_label,orientation_count,is_mirrored,oriented_mapping_candidate_ids,unordered_path_count,candidate_path_ids,distinct_shared_route_count,shared_global_concept_ids,best_evidence_grade,best_evidence_grade_order,worst_evidence_grade,worst_evidence_grade_order,R2_path_count,R1_path_count,R0_path_count,unclassified_path_count,candidate_group_status,graph_eligible
UG_62577b309277,GC_b68ff46bdf10,chcu,GC_d3a504edb0cc,additional concentration gradient,1,False,CM_62577b309277,1,TC_d1dba8da9061,1,GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_625bbc27410d,GC_9516ffbfc5d5,volume phase transition,GC_eb4c6fdf359a,ultrahigh power factor,1,False,CM_418ce0cb3248,1,TC_03e028fa7895,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62624b438b01,GC_41374fb28f21,redox ion,GC_c1bfbe56c4b1,nabf4,1,False,CM_cb7eb322a0fe,1,TC_948741a2d989,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6267ff5d1460,GC_574892c188bb,conducting ionic ion,GC_b4013b848168,hydrogel film,1,False,CM_6267ff5d1460,1,TC_56c4508fc4fc,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_626ec2cdfd84,GC_5ef8766de935,k4,GC_bfab31d6e65a,electrostatic interaction,1,False,CM_1ac6489e8d52,1,TC_55f11459c807,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_627455124c95,GC_3de6c46d3c21,boosting power,GC_4b155e3c784d,thermoelectric conversion,1,False,CM_627455124c95,1,TC_90d89cc71216,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62769103d899,GC_4047e4c70d3e,cell directly power,GC_5c9d495e3ca6,additional voltage,1,False,CM_d72695fbaf87,1,TC_454fb4994512,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6276a3d63ace,GC_6cdb23f33c74,seebeck coefficient,GC_8aa87c1dffcd,gelled electrolyte,1,False,CM_6276a3d63ace,1,TC_b42dd04bab1f,1,GC_02772d498f8b,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_627ad54ee206,GC_3570b0c90433,thermogalvanic hydrogel,GC_ec54bf419c7c,ionic thermoelectric hydrogel,1,False,CM_88c9fec7de7f,1,TC_375cc2615e98,1,GC_21faa67da1fd,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_628044533a28,GC_9817ec2c9852,hydrogel nanostructure,GC_f2bba15c8a15,physiological temperature gradient,1,False,CM_d13c07b61aaa,1,TC_c6f337c22253,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62836636545f,GC_030e2d8d54dd,double network,GC_6cdb23f33c74,seebeck coefficient,1,False,CM_cd7f94455d6d,1,TC_8f5ca5ae1090,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_628556d54da6,GC_09c84fb5d355,maximum power,GC_5b704f82a7d4,stable open circuit voltage,1,False,CM_d0e388ae6129,2,TC_cda586ffede1; TC_d8dcc1b99229,2,GC_21faa67da1fd; GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,2,0,candidate_not_observed,False
UG_6290b63a376e,GC_a8311b95a427,electrical conductivity,GC_c6f96235805f,tecs,1,False,CM_6290b63a376e,1,TC_3c3ad65f937e,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62971d6f1cde,GC_6482c8f50af3,varying anion,GC_d18c91f9affa,temperature difference,1,False,CM_62971d6f1cde,1,TC_9bebc7160597,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_629a024f4c4a,GC_0e210ac73b19,stretchable self healing ionogels,GC_85bcb1f79794,energy storage coefficient,1,False,CM_629a024f4c4a,1,TC_f328d63df3c3,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_629aec0886bd,GC_1e4633c244ec,coupling,GC_1e8becfd44ef,peak output power,1,False,CM_629aec0886bd,1,TC_2b64ffc1a6c4,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_629c9b1c98ac,GC_6ab69b88e679,useful electrical current,GC_bfab31d6e65a,electrostatic interaction,1,False,CM_e9656cf3d76b,1,TC_9a484169279a,1,GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_629d143ee34d,GC_d3aef9f1ae1f,marginal solvation entropy,GC_eb4c6fdf359a,ultrahigh power factor,1,False,CM_26162a440755,1,TC_a323beff19df,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_629e2503640c,GC_6b48cf2a30d2,redox entropy difference,GC_d0a1d8e93ac1,hydration interaction,1,False,CM_7ddac9bf0c79,1,TC_0e24f00d0356,1,GC_27998e08b8e3,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62a2673e906b,GC_4937afb10b20,conversion efficiency,GC_8d3dc70bf379,reaction involving metal ion,1,False,CM_62a2673e906b,1,TC_95fcdfc5511b,1,GC_21faa67da1fd,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62aa5c6e3d16,GC_b5b2487a73d8,koh electrolyte,GC_c6f96235805f,tecs,1,False,CM_62aa5c6e3d16,1,TC_1d4a2fa365c3,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62b14a190c32,GC_2d021adf8e8a,electrode temperature difference,GC_8f7769b4559f,pva/csi hydrogel,1,False,CM_28d8e4fe1685,1,TC_487e23283438,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62c3af973853,GC_1cfa29b05d96,textile electrode,GC_bfab31d6e65a,electrostatic interaction,1,False,CM_42a5169b3aa5,1,TC_bf792ceb6a84,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62cab3c3b2a3,GC_118af0040619,thermopower,GC_66f64b2e393b,thermal diffusion,1,False,CM_4dbdc2eccf97,2,TC_6904bc988880; TC_df98e179d696,2,GC_21faa67da1fd; GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,2,0,candidate_not_observed,False
