paper_id,title,doi,node_role,left_node_id,left_label,right_node_id,right_label,review_status
P1305,Modeling thermoelectric performance of p-type Cu3SbSe4-based chalcogenide materials using decision trees and structural risk error minimization intelligent computational methods,10.1371/journal.pone.0339521,outcome_property,TC_3b5587f9065a,large seebeck,TC_d0e0c372ca44,large seebeck coefficient,retained_not_auto_merged
P1305,Modeling thermoelectric performance of p-type Cu3SbSe4-based chalcogenide materials using decision trees and structural risk error minimization intelligent computational methods,10.1371/journal.pone.0339521,outcome_property,TC_d0e0c372ca44,large seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P1309,Room-temperature plasticity in Ag2Te induced by Ag ions hopping,10.1038/s41467-026-69298-z,evidence_method,TC_47081fe3324b,transmission electron microscopy,TC_d22039aa1053,electron microscopy,retained_not_auto_merged
P1310,"First-principles calculations to investigate structural, elastic, electronic, thermodynamic, and thermoelectric properties of CaPd3B4O12 (B = Ti, V) perovskites",10.1016/j.rinp.2022.105977,outcome_property,TC_20cff3f73892,higher seebeck coefficient,TC_99659f102a2d,higher seebeck,retained_not_auto_merged
P1310,"First-principles calculations to investigate structural, elastic, electronic, thermodynamic, and thermoelectric properties of CaPd3B4O12 (B = Ti, V) perovskites",10.1016/j.rinp.2022.105977,outcome_property,TC_20cff3f73892,higher seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P1312,"Integrated Optoelectronic Mechanical, and Thermoelectric Properties of CsNdATe3 (A=Cd, Zn) Quaternary Materials for High-Efficiency Energy Conversion Applications",10.1002/bio.70509,outcome_property,TC_0ad09eaf40c0,high seebeck coefficients,TC_621f048a7e27,high seebeck,retained_not_auto_merged
P1312,"Integrated Optoelectronic Mechanical, and Thermoelectric Properties of CsNdATe3 (A=Cd, Zn) Quaternary Materials for High-Efficiency Energy Conversion Applications",10.1002/bio.70509,outcome_property,TC_0ad09eaf40c0,high seebeck coefficients,TC_f3d47ac021e3,seebeck coefficients,retained_not_auto_merged
P1313,"High-temperature electrical and thermal transport properties of fully filled skutterudites RFe4Sb12 (R = Ca, Sr, Ba, La, Ce, Pr, Nd, Eu, and Yb)",10.1063/1.3553842,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1313,"High-temperature electrical and thermal transport properties of fully filled skutterudites RFe4Sb12 (R = Ca, Sr, Ba, La, Ce, Pr, Nd, Eu, and Yb)",10.1063/1.3553842,outcome_property,TC_29e6f835676f,thermal conductivity,TC_f4c58be6c82b,low lattice thermal conductivity,retained_not_auto_merged
P1313,"High-temperature electrical and thermal transport properties of fully filled skutterudites RFe4Sb12 (R = Ca, Sr, Ba, La, Ce, Pr, Nd, Eu, and Yb)",10.1063/1.3553842,outcome_property,TC_753f72002a8f,lattice thermal conductivity,TC_f4c58be6c82b,low lattice thermal conductivity,retained_not_auto_merged
P1313,"High-temperature electrical and thermal transport properties of fully filled skutterudites RFe4Sb12 (R = Ca, Sr, Ba, La, Ce, Pr, Nd, Eu, and Yb)",10.1063/1.3553842,outcome_property,TC_9f58ed907e7b,electrical conductivity,TC_c6879e15a4a5,high electrical conductivity,retained_not_auto_merged
P1315,A layered flexible nanocoating with ion-electron synergistic hermoelectric response for highly sensitive remote fire-warning,10.1016/j.porgcoat.2026.110403,material_system,TC_4f82a6a840d2,PEDOT:PSS,TC_ee0a98d9cc93,PEDOT,retained_not_auto_merged
P1316,A tunable ion relaxation process of a thermoelectric system for adjustable memory of thermal perception,10.1039/d5nr01895a,mechanism,TC_17aa3e959450,interfacially modified ion diffusion channels,TC_87e040977b41,ion diffusion,retained_not_auto_merged
P1317,Local Symmetry Breaking Induced Superionic Conductivity in Argyrodites,10.1021/jacs.5c17193,outcome_property,TC_29e6f835676f,thermal conductivity,TC_dd9400f91d54,ultralow thermal conductivity,retained_not_auto_merged
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,outcome_property,TC_1687aa989e8c,intrinsically low lattice thermal conductivity,TC_29e6f835676f,thermal conductivity,retained_not_auto_merged
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,outcome_property,TC_1687aa989e8c,intrinsically low lattice thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1319,Modulating Interlayer Chemical Bonding Heterogeneity for Electron-Phonon Decoupling: Unlocking High Thermoelectric Performance in Layered CuCrTi2Se6,10.1002/aenm.71173,outcome_property,TC_1687aa989e8c,intrinsically low lattice thermal conductivity,TC_f4c58be6c82b,low lattice thermal conductivity,retained_not_auto_merged
