_source,年份,文章名,DOI
iTE2,2026,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,10.1016/j.cej.2026.178230
iTE2,2025,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,10.1002/adfm.202417740
iTE2,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686
iTE2,2021,Rational Design of Thermocells Driven by the Volume Phase Transition of Hydrogel Nanoparticles,10.1021/acsami.1c07266
iTE2,2026,Entropy-Engineered Fiber-Shaped Liquid Crystal Elastomer Based Thermocell Integrated into 3D-Knitted Wristbands for Sensing Application,10.1007/s42765-026-00719-w
iTE2,2025,High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,10.1016/j.cej.2025.159714
iTE2,2017,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",10.1039/c7ta04891b
iTE2,2015,Seebeck effect in a battery-type thermocell,10.1063/1.4928336
iTE2,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,10.1038/s41467-018-07625-9
iTE2,2025,Significantly enhanced temperature uniformity and prolonging lifespan in a novel concentrated photovoltaic/liquid-flow ionic thermocell hybrid system through tapered-channel thermal management,10.1016/j.energy.2025.138057
iTE2,2026,Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,10.1002/smll.73890
iTE2,2016,Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,10.1016/j.elecom.2016.10.001
iTE2,2018,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,10.1016/j.jpowsour.2018.07.080
iTE2,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,10.1007/s40820-022-00824-6
iTE2,2026,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,10.1016/j.jechem.2026.05.024
iTE2,2023,"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",10.1063/5.0131731
iTE2,2020,Highly efficient thermo-electrochemical energy harvesting from graphene-carbon nanotube 'hybrid' aerogels,10.1007/s00339-020-03902-x
iTE2,2024,Performance enhancement in a novel concentrated photovoltaic and liquid-flow thermocells hybrid system through optimal photovoltaic cells,10.1016/j.energy.2024.133872
iTE2,2024,Solvation Engineering via Fluorosurfactant Additive Toward Boosted Lithium-Ion Thermoelectrochemical Cells,10.1007/s40820-023-01292-2
iTE2,2021,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,10.1039/d1se01264a
