model,roc_auc,average_precision,candidates,positives,precision_at_5,hits_at_5,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,catboost_weight,graph_weight
w=0.82,0.6438140267927501,0.12517865732890626,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.8200000000000001,0.17999999999999994
w=0.83,0.6414499605988968,0.1251168071583164,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.8300000000000001,0.16999999999999993
w=0.84,0.6406619385342789,0.12328530532681459,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.84,0.16000000000000003
w=0.85,0.6398739164696612,0.12286442990593917,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.85,0.15000000000000002
w=0.86,0.6375098502758078,0.12254874164407728,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.86,0.14
w=0.87,0.6359338061465721,0.12207275937009278,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.87,0.13
w=0.88,0.6308116627265563,0.11819639214720468,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.88,0.12
w=0.89,0.6272655634357762,0.11768221004557014,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.89,0.10999999999999999
w=0.90,0.6249014972419228,0.11452667355670032,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.9,0.09999999999999998
w=0.91,0.6209613869188337,0.11403212982408129,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.91,0.08999999999999997
w=0.92,0.6201733648542159,0.11280663962800286,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.92,0.07999999999999996
w=0.93,0.6170212765957447,0.11231215458614598,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.93,0.06999999999999995
w=0.94,0.6142631993695824,0.10840749765300187,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.9400000000000001,0.05999999999999994
w=0.95,0.6122931442080378,0.10819959022606243,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.9500000000000001,0.04999999999999993
w=0.96,0.6107171000788021,0.10664095063925384,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.96,0.040000000000000036
w=0.97,0.6099290780141844,0.10555162602051744,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.97,0.030000000000000027
w=0.98,0.607565011820331,0.10436892735131616,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.98,0.020000000000000018
w=0.99,0.6028368794326241,0.10255421208441334,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.99,0.010000000000000009
w=1.00,0.6020488573680063,0.10243080100209814,150,9,0.0,0,0.1,1,0.12,3,0.08,4,1.0,0.0
